"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"1439","1439","1439",NA,TRUE,TRUE,"no",133,"Joshua","7/2/2015 13:49:53","Good alignment throughout",NA,"",""
"2043","2043","2043",NA,TRUE,TRUE,"no",133,"Sky","5/4/2015 14:39:36","Good alignment through year X",1885,"",""
"2510","2510","2510",NA,TRUE,TRUE,"no",133,"Sky","4/1/2015 15:44:14","Good alignment through year X",1895,"","check dating"
"4007","4007","4007",NA,TRUE,TRUE,"no",132,"Sky","5/14/2015 12:06:04","Good alignment through year X",1929,"",""
"1429","1429","1429",NA,TRUE,TRUE,"no",131,"Alec","5/4/2015 10:44:34","Good alignment through year X",1887,"",""
"2588","2588","2588",NA,TRUE,TRUE,"no",131,"Alec","3/9/2015 10:26:41","Good alignment through year X",1900,"could add ring at 1970 and delete ring at 1948",""
"PM101","PM101","PM101",NA,TRUE,TRUE,"no",131,"Alec","5/4/2015 10:46:09","Good alignment through year X",1900,"",""
"2157","2157","2157",NA,TRUE,TRUE,"no",129,"Sky","3/9/2015 14:53:46","Good alignment through year X",1900,"years before 1910","align to reference or image for yrs mentioned?"
"1079","1079","1079",NA,TRUE,TRUE,"no",128,"Sky","5/6/2015 15:39:21","Good alignment throughout",NA,"",""
"2007","2007","2007",NA,TRUE,TRUE,"no",128,"Alec","5/4/2015 10:34:28","Good alignment through year X",1898,"",""
"2520","2520","2520",NA,TRUE,TRUE,"no",128,"Sky","5/6/2015 15:41:16","Good alignment through year X",1889,"",""
"2583","2583","2583",NA,TRUE,TRUE,"no",128,"Alec","5/4/2015 11:31:26","Good alignment through year X",1900,"",""
"1101","1101","1101",NA,TRUE,TRUE,"no",126,"Alec","5/11/2015 11:48:11","Good alignment throughout",NA,"Added 2 rings, one made since visually the other did not",""
"2573","2573","2573",NA,TRUE,TRUE,"no",126,"Alec","3/31/2015 12:29:17","Good alignment through year X",1900,"",""
"PM103","PM103","PM103",NA,TRUE,TRUE,"no",126,"Joshua","7/13/2015 12:47:07","Good alignment throughout",NA,"ref chron all used",""
"2580","2580","2580",NA,TRUE,TRUE,"no",125,"Morgan","6/26/2015 10:49:01","Good alignment throughout",NA,"previous person did not remove uncs, improved alignment throughout",""
"1236","1236","1236",NA,TRUE,TRUE,"no",123,"Sky","5/7/2015 12:34:20","Good alignment through year X",1952,"",""
"1489","1489","1489",NA,TRUE,TRUE,"no",122,"Alec","5/11/2015 11:59:19","Good alignment throughout",NA,"Added 2 rings, one made since visually the other did not",""
"2052","2052","2052",NA,TRUE,TRUE,"no",122,"Sky","4/9/2015 12:53:55","Good alignment through year X",1894,"",""
"2516","2516","2516",NA,TRUE,TRUE,"no",122,"Sky","4/9/2015 12:38:34","Good alignment through year X",1894,"",""
"PM263","PM263","PM263",NA,TRUE,TRUE,"no",122,"Cameron","10/12/2015 14:34:43","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"1225","1225","1225",NA,TRUE,TRUE,"no",121,"Sky","5/6/2015 15:43:27","Good alignment throughout",NA,"",""
"1444","1444","1444",NA,TRUE,TRUE,"no",120,"Sky","5/20/2015 16:26:36","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
"1474","1474","1474",NA,TRUE,TRUE,"no",120,"Alec","5/12/2015 10:57:47","Good alignment throughout",NA,"",""
"1403","1403","1403",NA,TRUE,TRUE,"no",119,"Sky","4/21/2015 13:26:13","Good alignment through year X",1892,"",""
"2150","2150","2150",NA,TRUE,TRUE,"no",119,"Sky","5/6/2015 15:47:03","Good alignment through year X",1904,"",""
"2530","2530","2530",NA,TRUE,TRUE,"no",119,"Alec","5/4/2015 11:48:05","Good alignment through year X",1900,"",""
"2034","2034","2034",NA,TRUE,TRUE,"no",118,"Sky","4/16/2015 11:27:26","Good alignment through year X",1895,"",""
"2045","2045","2045",NA,TRUE,TRUE,"no",118,"Sky","4/2/2015 11:16:10","Good alignment through year X",1893,"",""
"2586","2586","2586",NA,TRUE,TRUE,"no",118,"Sky","5/27/2015 17:42:12","Good alignment throughout",NA,"",""
"PM126","PM126","PM126",NA,TRUE,TRUE,"no",118,"Cameron","6/23/2015 13:11:56","Good alignment throughout",NA,"",""
"1266","1266","1266",NA,TRUE,TRUE,"no",117,"Sky","4/16/2015 11:32:46","Good alignment through year X",1894,"",""
"1301","1301","1301",NA,TRUE,TRUE,"no",117,"Cole","3/13/2015 14:17:09","Good alignment throughout",NA,"",""
"1498","1498","1498",NA,TRUE,TRUE,"no",117,"Joshua","6/27/2015 14:04:28","Good alignment throughout",NA,"",""
"2109","2109","2109",NA,TRUE,TRUE,"no",116,"Sky","5/13/2015 17:10:38","Good alignment throughout",NA,"core was flipped in plate: goes from right to left",""
"PMA5","PM","PMA5",NA,TRUE,TRUE,"no",116,"Cameron","10/7/2015 14:22:04","Good alignment throughout",NA,"",""
"1290","1290","1290",NA,TRUE,TRUE,"no",115,"Joshua","6/30/2015 18:10:51","Good alignment throughout",NA,"",""
"1435","1435","1435",NA,TRUE,TRUE,"no",115,"Alec","4/2/2015 13:32:17","Good alignment throughout",NA,"",""
"1018","1018","1018",NA,TRUE,TRUE,"no",114,"Joshua","7/2/2015 12:56:24","Good alignment throughout",NA,"",""
"1297","1297","1297",NA,TRUE,TRUE,"no",114,"Cole","3/16/2015 12:23:33","Good alignment throughout",NA,"",""
"1311Z","1311","1311Z",NA,TRUE,TRUE,"no",114,"Sky","5/13/2015 17:36:54","Good alignment through year X",1931,"",""
"1257","1257","1257",NA,TRUE,TRUE,"no",113,"Sky","5/11/2015 13:58:55","Good alignment through year X",1915,"",""
"1264","1264","1264",NA,TRUE,TRUE,"no",113,"Sky","3/4/2015 14:23:47","Good alignment throughout",NA,"",""
"1475","1475","1475",NA,TRUE,TRUE,"no",113,"Alec","5/12/2015 11:04:48","Good alignment throughout",NA,"",""
"2506","2506","2506",NA,TRUE,TRUE,"no",113,"Sky","5/11/2015 14:04:44","Good alignment throughout",NA,"","should alignment stop at 1956 or good alignment throughout?"
"2604","2604","2604",NA,TRUE,TRUE,"no",113,"Alec","4/30/2015 15:36:16","Good alignment throughout",NA,"",""
"1267","1267","1267",NA,TRUE,TRUE,"no",112,"Sky","3/9/2015 14:16:11","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
"1341","1341","1341",NA,TRUE,TRUE,"no",112,"Sky","4/27/2015 14:41:27","Good alignment throughout",NA,"",""
"1345","1345","1345",NA,TRUE,TRUE,"no",112,"Cameron","9/30/2015 13:44:03","Good alignment throughout",NA,"",""
"1433","1433","1433",NA,TRUE,TRUE,"no",112,"Alec","5/4/2015 10:48:50","Good alignment throughout",NA,"",""
"1500","1500","1500",NA,TRUE,TRUE,"no",112,"Joshua","6/30/2015 11:20:06","Good alignment throughout",NA,"",""
"2032","2032","2032",NA,TRUE,TRUE,"no",112,"Sky","5/6/2015 15:50:56","Good alignment throughout",NA,"",""
"2040","2040","2040",NA,TRUE,TRUE,"no",112,"Sky","5/11/2015 13:54:55","Good alignment throughout",NA,"",""
"2163","2163","2163",NA,TRUE,TRUE,"no",112,"Sky","5/11/2015 14:23:08","Good alignment throughout",NA,"",""
"PM266","PM266","PM266",NA,TRUE,TRUE,"no",112,"Joshua","7/13/2015 12:56:01","Good alignment through year X",1920,"ref chron all used",""
"1148","1148","1148",NA,TRUE,TRUE,"no",111,"Joshua","6/23/2015 14:17:51","Good alignment throughout",NA,"",""
"1333","1333","1333",NA,TRUE,TRUE,"no",111,"Rosie","3/3/2015 11:26:58","Good alignment throughout",NA,"",""
"2112","2112","2112",NA,TRUE,TRUE,"no",111,"Sky","5/6/2015 15:52:43","Good alignment throughout",NA,"",""
"2158","2158","2158",NA,TRUE,TRUE,"no",111,"Sky","5/11/2015 14:10:08","Good alignment through year X",1922,"",""
"2166","2166","2166",NA,TRUE,TRUE,"no",111,"Sky","5/6/2015 15:54:12","Good alignment throughout",NA,"",""
"1020","1020","1020",NA,TRUE,TRUE,"no",110,"Cole","3/16/2015 12:27:57","Good alignment throughout",NA,"",""
"2135","2135","2135",NA,TRUE,TRUE,"no",110,"Sky","5/11/2015 14:17:20","Good alignment through year X",1970,"","or good alignment throughout?"
"2505","2505","2505",NA,TRUE,TRUE,"no",110,"Sky","5/6/2015 15:56:03","Good alignment throughout",NA,"",""
"1150","1150","1150",NA,TRUE,TRUE,"no",109,"Joshua","7/8/2015 20:26:34","Good alignment throughout",NA,"",""
"1271","1271","1271",NA,TRUE,TRUE,"no",109,"Sky","5/20/2015 15:57:20","Good alignment throughout",NA,"",""
"2044","2044","2044",NA,TRUE,TRUE,"no",109,"Sky","5/11/2015 14:35:31","Good alignment throughout",NA,"",""
"PM123","PM123","PM123",NA,TRUE,TRUE,"no",109,"Joshua","7/11/2015 13:43:03","Good alignment throughout",NA,"ref chron all used",""
"PM262","PM262","PM262",NA,TRUE,TRUE,"no",109,"Joshua","7/20/2015 13:56:43","Good alignment throughout",NA,"ref chron all used",""
"2039Z","2039","2039Z",NA,TRUE,TRUE,"no",108,"Sky","5/19/2015 12:36:54","Good alignment throughout",NA,"alignment is good from 1945 to 1929 unlike previously noted",""
"PM112","PM112","PM112",NA,TRUE,TRUE,"no",108,"Joshua","7/13/2015 13:10:37","Good alignment throughout",NA,"ref chron all used",""
"1074","1074","1074",NA,TRUE,TRUE,"no",107,"Sky","5/6/2015 15:57:11","Good alignment through year X",1924,"",""
"1080","1080","1080",NA,TRUE,TRUE,"no",107,"Sky","4/16/2015 12:41:10","Good alignment through year X",1933,"truncated core at 1933 bc poor alignment",""
"1298","1298","1298",NA,TRUE,TRUE,"no",107,"Sky","4/28/2015 12:12:26","Good alignment throughout",NA,"",""
"1377","1377","1377",NA,TRUE,TRUE,"no",107,"Alec","5/12/2015 11:18:33","Good alignment throughout",NA,"",""
"2553","2553","2553",NA,TRUE,TRUE,"no",107,"Alec","4/30/2015 15:17:21","Good alignment throughout",NA,"",""
"1140A","1140","1140A",NA,TRUE,TRUE,"no",106,"Joshua","6/23/2015 16:00:42","Good alignment throughout",NA,"",""
"1149","1149","1149",NA,TRUE,TRUE,"no",106,"Cameron","10/12/2015 14:09:45","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"2006","2006","2006",NA,TRUE,TRUE,"no",106,"Alec","5/4/2015 10:49:45","Good alignment throughout",NA,"",""
"2582","2582","2582",NA,TRUE,TRUE,"no",106,"Alec","4/2/2015 13:57:07","Good alignment throughout",NA,"",""
"PM23","PM23","PM23",NA,TRUE,TRUE,"no",106,"Cameron","10/19/2015 17:26:41","Good alignment throughout",NA,"",""
"1288","1288","1288",NA,TRUE,TRUE,"no",105,"Rosie","3/3/2015 11:53:05","Good alignment throughout",NA,"","looks stochastic"
"2128","2128","2128",NA,TRUE,TRUE,"no",105,"Sky","5/5/2015 11:21:29","Good alignment throughout",NA,"",""
"2557","2557","2557",NA,TRUE,TRUE,"no",105,"Alec","4/7/2015 19:13:07","Good alignment throughout",NA,"",""
"2605","2605","2605",NA,TRUE,TRUE,"no",105,"Alec","5/4/2015 10:51:00","Good alignment throughout",NA,"",""
"PM122","PM122","PM122",NA,TRUE,TRUE,"no",105,"Joshua","7/11/2015 13:40:09","Good alignment throughout",NA,"ref chron all used",""
"PM54","PM54","PM54",NA,TRUE,TRUE,"no",105,"Derek","10/27/2015 11:56:38","Good alignment throughout",NA,"",""
"PMA10L","PM","PMA10L",NA,TRUE,TRUE,"no",105,"Cameron","10/7/2015 14:15:49","Good alignment throughout",NA,"""Removal of rings"" was just deleting random non-rings that auto had added",""
"1014","1014","1014",NA,TRUE,TRUE,"no",104,"Sky","5/20/2015 15:43:09","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
"1249","1249","1249",NA,TRUE,TRUE,"no",104,"Sky","5/6/2015 15:57:54","Good alignment throughout",NA,"",""
"1291","1291","1291",NA,TRUE,TRUE,"no",104,"Alec","5/14/2015 16:18:11","Good alignment throughout",NA,"",""
"1407","1407","1407",NA,TRUE,TRUE,"no",104,"Sky","5/6/2015 15:58:27","Good alignment throughout",NA,"",""
"2015B","2015","2015B",NA,TRUE,TRUE,"no",104,"Alec","4/30/2015 16:10:49","Good alignment throughout",NA,"",""
"2035","2035","2035",NA,TRUE,TRUE,"no",104,"Sky","5/11/2015 14:57:08","Good alignment throughout",NA,"",""
"2547","2547","2547",NA,TRUE,TRUE,"no",104,"Alec","4/3/2015 11:31:33","Good alignment throughout",NA,"",""
"2608","2608","2608",NA,TRUE,TRUE,"no",104,"Sky","5/20/2015 15:18:38","Good alignment throughout",NA,"",""
"PM261","PM261","PM261",NA,TRUE,TRUE,"no",104,"Joshua","7/13/2015 13:35:50","Good alignment throughout",NA,"ref chron all used","Check if better to leave outer ring or delete I tried both"
"1432","1432","1432",NA,TRUE,TRUE,"no",103,"Alec","4/2/2015 14:04:15","Good alignment throughout",NA,"",""
"2111","2111","2111",NA,TRUE,TRUE,"no",103,"Sky","5/13/2015 17:18:38","Good alignment throughout",NA,"",""
"PM22","PM22","PM22",NA,TRUE,TRUE,"no",103,"Cameron","10/19/2015 17:21:54","Good alignment throughout",NA,"One ring added was just one that auto placement totally  missed- point 77",""
"2131","2131","2131",NA,TRUE,TRUE,"no",102,"Sky","4/20/2015 13:35:39","Good alignment through year X",1910,"",""
"2551","2551","2551",NA,TRUE,TRUE,"no",102,"Alec","4/14/2015 9:58:21","Good alignment throughout",NA,"",""
"2523","2523","2523",NA,TRUE,TRUE,"no",101,"Sky","4/16/2015 12:54:18","Good alignment through year X",1952,"","truncated alignment after 1952,  but it may be adjusted to fit better"
"1269","1269","1269",NA,TRUE,TRUE,"no",100,"Sky","5/6/2015 15:59:19","Good alignment throughout",NA,"",""
"4020","4020","4020",NA,TRUE,TRUE,"no",100,"Derek","8/27/2015 12:37:00","Good alignment through year X",1941,"",""
"PM265","PM265","PM265",NA,TRUE,TRUE,"no",100,"Sky","4/21/2015 12:01:41","Good alignment through year X",1912,"",""
"2542","2542","2542",NA,TRUE,TRUE,"no",99,"Alec","4/14/2015 10:00:35","Good alignment throughout",NA,"",""
"1077","1077","1077",NA,TRUE,TRUE,"no",98,"Sky","5/6/2015 16:00:04","Good alignment throughout",NA,"",""
"1115","1115","1115",NA,TRUE,TRUE,"no",98,"Cameron","6/25/2015 12:52:21","Good alignment throughout",NA,"",""
"1325","1325","1325",NA,TRUE,TRUE,"no",98,"Alec","5/14/2015 11:22:44","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
"1417","1417","1417",NA,TRUE,TRUE,"no",98,"Cameron","10/12/2015 14:07:12","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"1442","1442","1442",NA,TRUE,TRUE,"no",98,"Alec","5/4/2015 10:52:15","Good alignment throughout",NA,"",""
"2561","2561","2561",NA,TRUE,TRUE,"no",98,"Alec","3/9/2015 10:06:39","Good alignment throughout",NA,"",""
"1247","1247","1247",NA,TRUE,TRUE,"no",97,"Sky","5/12/2015 10:51:29","Good alignment throughout",NA,"",""
"1255","1255","1255",NA,TRUE,TRUE,"no",97,"Sky","5/12/2015 10:52:58","Good alignment throughout",NA,"",""
"1371","1371","1371",NA,TRUE,TRUE,"no",97,"Morgan","6/17/2015 12:33:52","Good alignment throughout",NA,"",""
"1495","1495","1495",NA,TRUE,TRUE,"no",97,"Alec","4/7/2015 19:23:51","Good alignment throughout",NA,"",""
"2501","2501","2501",NA,TRUE,TRUE,"no",97,"Sky","5/19/2015 11:11:17","Good alignment throughout",NA,"",""
"2533","2533","2533",NA,TRUE,TRUE,"no",97,"Alec","4/30/2015 16:15:29","Good alignment throughout",NA,"",""
"PM221A","PM221","PM221A",NA,TRUE,TRUE,"no",97,"Sky","5/27/2015 17:09:35","Good alignment throughout",NA,"",""
"PM48","PM48","PM48",NA,TRUE,TRUE,"no",97,"Alec","4/2/2015 14:13:49","Good alignment throughout",NA,"",""
"2142","2142","2142",NA,TRUE,TRUE,"no",96,"Alec","4/2/2015 14:20:21","Good alignment throughout",NA,"",""
"PM208","PM208","PM208",NA,TRUE,TRUE,"no",96,"Sky","5/27/2015 16:54:25","Good alignment throughout",NA,"",""
"PM26B","PM26","PM26B",NA,TRUE,TRUE,"no",96,"Cameron","10/19/2015 17:36:39","Good alignment throughout",NA,"",""
"1005","1005","1005",NA,TRUE,TRUE,"no",95,"Sky","5/20/2015 15:42:29","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
"1183","1183","1183",NA,TRUE,TRUE,"no",95,"Derek","8/27/2015 12:20:16","Good alignment throughout",NA,"",""
"1352","1352","1352",NA,TRUE,TRUE,"no",95,"Joshua","6/30/2015 18:16:56","Good alignment throughout",NA,"",""
"2563","2563","2563",NA,TRUE,TRUE,"no",95,"Alec","4/3/2015 11:25:00","Good alignment throughout",NA,"",""
"PM217","PM217","PM217",NA,TRUE,TRUE,"no",94,"Joshua","7/20/2015 14:22:42","Good alignment throughout",NA,"ref chron all used",""
"1261","1261","1261",NA,TRUE,TRUE,"no",93,"Joshua","6/23/2015 15:29:10","Good alignment throughout",NA,"",""
"8000","8000","8000",NA,TRUE,TRUE,"no",93,"Derek","8/27/2015 12:15:01","Good alignment throughout",NA,"",""
"PM140","PM140","PM140",NA,TRUE,TRUE,"no",93,"Joshua","7/13/2015 14:08:50","Good alignment throughout",NA,"ref chron all used",""
"PM205","PM205","PM205",NA,TRUE,TRUE,"no",93,"Sky","5/27/2015 16:55:28","Good alignment throughout",NA,"",""
"PM211","PM211","PM211",NA,TRUE,TRUE,"no",93,"Sky","5/27/2015 17:51:25","Good alignment throughout",NA,"",""
"PM93","PM93","PM93",NA,TRUE,TRUE,"no",93,"Morgan","6/19/2015 12:47:51","Good alignment throughout",NA,"",""
"1039","1039","1039",NA,TRUE,TRUE,"no",92,"Alec","5/12/2015 11:42:14","Good alignment throughout",NA,"",""
"1246","1246","1246",NA,TRUE,TRUE,"no",92,"Sky","5/12/2015 11:05:27","Good alignment throughout",NA,"",""
"2019","2019","2019",NA,TRUE,TRUE,"no",92,"Alec","4/2/2015 14:40:27","Good alignment throughout",NA,"",""
"2562","2562","2562",NA,TRUE,TRUE,"no",92,"Alec","4/2/2015 14:32:47","Good alignment throughout",NA,"",""
"2575B","2575","2575B",NA,TRUE,TRUE,"no",92,"Alec","4/30/2015 16:20:04","Good alignment throughout",NA,"",""
"2590","2590","2590",NA,TRUE,TRUE,"no",92,"Alec","4/7/2015 19:15:00","Good alignment throughout",NA,"",""
"PM209","PM209","PM209",NA,TRUE,TRUE,"no",92,"Sky","5/27/2015 17:39:53","Good alignment through year X",1943,"",""
"PM254","PM254","PM254",NA,TRUE,TRUE,"no",92,"Joshua","7/13/2015 14:14:26","Good alignment throughout",NA,"ref chron all used",""
"PM87","PM87","PM87",NA,TRUE,TRUE,"no",92,"Joshua","7/21/2015 10:52:41","Good alignment throughout",NA,"ref chron all used",""
"1240","1240","1240",NA,TRUE,TRUE,"no",91,"Sky","5/27/2015 17:53:47","Good alignment throughout",NA,"",""
"1243","1243","1243",NA,TRUE,TRUE,"no",91,"Sky","5/6/2015 16:00:40","Good alignment throughout",NA,"",""
"2513","2513","2513",NA,TRUE,TRUE,"no",91,"Sky","5/6/2015 16:01:20","Good alignment throughout",NA,"",""
"2518","2518","2518",NA,TRUE,TRUE,"no",91,"Sky","4/20/2015 14:06:58","Good alignment throughout",NA,"",""
"2579","2579","2579",NA,TRUE,TRUE,"no",91,"Alec","4/2/2015 14:53:22","Good alignment throughout",NA,"",""
"PM115","PM115","PM115",NA,TRUE,TRUE,"no",91,"Joshua","7/13/2015 14:18:50","Good alignment throughout",NA,"ref chron all used",""
"PM94","PM94","PM94",NA,TRUE,TRUE,"no",91,"Sky","4/20/2015 14:10:04","Good alignment through year X",1913,"",""
"PM99","PM99","PM99",NA,TRUE,TRUE,"no",91,"Joshua","7/20/2015 14:06:59","Good alignment throughout",NA,"ref chron all used","Decided to take out a ring and add one that looked more obvious. Did that make sense?"
"2165","2165","2165",NA,TRUE,TRUE,"no",90,"Sky","5/12/2015 11:14:10","Good alignment throughout",NA,"",""
"2514","2514","2514",NA,TRUE,TRUE,"no",90,"Sky","5/19/2015 11:20:04","Good alignment throughout",NA,"",""
"2546","2546","2546",NA,TRUE,TRUE,"no",90,"Alec","4/30/2015 16:22:43","Good alignment throughout",NA,"",""
"PM221B1","PM221","PM221B1",NA,TRUE,TRUE,"no",90,"Cameron","10/7/2015 14:00:47","Good alignment throughout",NA,"",""
"1013","1013","1013",NA,TRUE,TRUE,"no",89,"Sky","5/20/2015 15:41:51","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
