plot.id,foc,cmp,tree.id,species,dbh,ba20,ref,brg.to.ref,backbrg,dist.to.ref,notes,tree.or.logger,former.id,
RT01,,X,,PSME,20-40,,,290,x,1.7,,tree,,
RT01,,X,,PSME,20-40,,,52,x,9,,tree,,
RT01,,X,,PIPO,40-60,,,142,x,9.7,,tree,,
RT01,X,,1071,PIPO,47,9,1070,192,x,9.4,,tree,,
RT01,,X,,PSME,60-80,,,94,x,1,,tree,,
RT01,,X,,PSME,20-40,,,304,x,1,,tree,,
RT01,,X,,PSME,40-60,,,186,x,9.4,,tree,,
RT01,X,,1072,PIPO,64.5,6,1071,214,,7.5,,tree,,
RT01,,X,,PSME,20-40,,,354,x,3.3,,tree,,
RT01,,X,,QUKE,40-60,,,106,x,4.8,,tree,,
RT01,,X,,PIPO,40-60,,,214,x,7.5,,tree,,
RT01,X,,1073,PSME,50,,PM205,,,,pm205,tree,PM205,
RT01,,X,,CADE,40-60,,,80,x,2.1,,tree,,
RT01,,X,,PSME,20-40,,,206,x,3.1,,tree,,
RT01,,X,,PSME,20-40,,,286,x,0.5,,tree,,
RT02B,X,,1074,PSME,37.9,6,1074,,,,,tree,,
RT02B,,X,,PSME,20-40,,,34,x,2.5,,tree,,
RT02B,,X,,PSME,20-40,,,178,x,9.4,,tree,,
RT02B,,X,,ABCO,20-40,,,226,x,7.8,,tree,,
RT02B,,X,,PSME,20-40,,,306,x,11.9,,tree,,
RT02B,X,,1075,PSME,37.4,6,1074,220,,2.5,,tree,,
RT02B,,X,,PSME,20-40,,,34,,2.5,,tree,,
RT02B,,X,,PSME,20-40,,,106,x,2.3,,tree,,
RT02B,,X,,CADE,40-60,,,14,x,9,,tree,,
RT02B,X,,1076,PSME,29.4,5,1075,298,,2.2,,tree,,
RT02B,,X,,PSME,37.4,,,298,x,2.2,,tree,,
RT02B,,X,,PSME,40-60,,,82,x,1,,tree,,
RT02B,,X,,PSME,40-60,,,250,x,2.8,,tree,,
RT02B,X,,1080,PSME,42.7,6,1074,350,,9.3,,tree,,
RT02B,,X,,PSME,40-60,,,350,x,9.3,,tree,,
RT02B,,X,,ABCO,20-40,,,52,x,5.4,,tree,,
RT02B,,X,,ABCO,20-40,,,132,x,2.6,decay=2,tree,,
RT02B,,X,,PSME,20-40,,,204,x,3.2,snag. Decay=2,tree,,
RT02B,,X,,PSME,40-60,,,292,x,7.8,,tree,,
RT02B,X,,1077,PSME,42.3,5,1076,82,x,1,,tree,,
RT02B,,X,,PSME,20-40,,,82,,1,,tree,,
RT02B,,X,,CADE,40-60,,,356,x,9,stump. Decay=2,tree,,
RT02B,,X,,PSME,40-60,,,144,x,6.5,,tree,,
RR7,X,,1225,PSME,99.5,5,1225,,,,,tree,,
RR7,,X,,CADE,20-40,,,160,x,8.4,,tree,,
RR7,,X,,CADE,40-60,,,262,x,11.9,,tree,,
RR7,,X,,QUKE,40-60,,,60,x,5.4,,tree,,
RR7,X,,1226,PIPO,62.1,6,1225,30,,12.5,,tree,,
RR7,,X,,PIPO,60-80,,,278,x,3.6,,tree,,
RR7,,X,,PIPO,100-120,,,150,x,6.9,,tree,,
RR7,,X,,PSME,80-100,,,30,x,12.5,,tree,,
RR7,X,,1227,PIPO,102.8,7,1226,150,,6.9,dwarf mistletoe,tree,,
RR7,,X,,PIPO,60-80,,,246,x,5.9,,tree,,
RR7,,X,,PIPO,20-40,,,170,x,1,,tree,,
RR7,,X,,CADE,20-40,,,50,x,8.8,,tree,,
RR7,X,,1228,PSME,36.9,6,1227,280,,14.2,pitching cankers,tree,,
RR7,,X,,QUKE,40-60,,,172,x,6.9,,tree,,
RR7,,X,,PSME,40-60,,,68,x,9.1,,tree,,
RR7,,X,,CADE,20-40,,,146,x,3,stump-2,tree,,
RR7,,X,,CADE,20-40,,,328,x,7.3,,tree,,
RR7,,X,,PSME,20-40,,,260,x,10.6,,tree,,
RR7,X,,1229,PSME,50,6,1228,255,,9,,tree,,
RR7,,X,,PSME,20-40,,,120,x,5.6,,tree,,
RR7,,X,,PSME,20-40,,,20,x,4.9,,tree,,
RR7,,X,,PSME,20-40,,,255,x,9,,tree,,
RR7,X,,1233,PSME,37.5,7,1229,290,,7.7,,tree,,
RR7,,X,,PSME,20-40,,,257,x,2.4,,tree,,
RR7,,X,,PSME,40-60,,,30,x,9.2,,tree,,
RR7,,X,,PSME,20-40,,,130,x,6.2,stump-2,tree,,
RR7,X,,1231,PIPO,82.1,8,1226,94,,3.7,,tree,,
RR7,,X,,PIPO,60-80,,,94,x,3.7,,tree,,
RR7,,X,,PILA,80-100,,,244,x,5.3,,tree,,
RR7,,X,,CADE,40-60,,,340,x,1,stump-2,tree,,
RR7,X,,1232,PIPO,70.3,8,1227,70,,6.4,dwarf mistletoe,tree,,
RR7,,X,,PIPO,100-120,,,70,x,6.4,,tree,,
RR7,,X,,PIPO,40-60,,,270,x,9.3,,tree,,
RR7,,X,,PIPO,80-100,,,344,x,9.6,,tree,,
RR7,,X,,PIPO,60-80,,,12,,3.4,,tree,,
RR7,X,,1234,PIPO,60.9,7,1232,12,,3.4,,tree,,
RR7,,X,,PIPO,60-80,,,12,x,3.4,,tree,,
RR7,,X,,PSME,20-40,,,78,x,11,,tree,,
RR7,,X,,PIPO,40-60,,,182,x,1,stump-2,tree,,
RR7,,X,,QUKE,40-60,,,182,x,4,,tree,,
RR7,,X,,PIPO,40-60,,,292,x,9.7,,tree,,
RR7,X,,1235,PSME,38.9,12,1235,,,,,tree,,
RR7,,X,,PSME,20-40,,,158,x,3.8,dead-broken top. Decay=3,tree,,
RR7,,X,,PSME,20-40,,,288,x,4.8,,tree,,
RR7,,X,,PSME,40-60,,,344,x,3.3,,tree,,
RR7,X,,1078,PIPO,54.8,4,1078,,,,top dying back,tree,,
RR7,,X,,PIPO,60-80,,,20,x,8.5,,tree,,
RR7,,X,,CADE,40-60,,,120,,2.2,stump-2,tree,,
RR7,,X,,PIPO,40-60,,,270,x,10.2,,tree,,
RR7,,X,,CADE,40-60,,,170,x,9,,tree,,
RR7,,X,,PIPO,60-80,,,255,x,3.4,stump=2,tree,,
RR7,,X,,PIPO,40-60,,,140,x,4.9,stump=2,tree,,
RR7,X,,1230,PSME,48.7,9,1078,314,,9.5,,tree,,
RR7,,X,,QUKE,20-40,,,236,x,0.8,,tree,,
RR7,,X,,PSME,20-40,,,78,x,7.9,,tree,,
RR7,,X,,PSME,20-40,,,274,x,1.7,,tree,,
RT02C,X,,1220,PSME,46.5,8,1220,,,,,tree,,
RT02C,,X,,QUKE,40-60,,,204,x,1,,tree,,
RT02C,,X,,CADE,20-40,,,62,x,4.8,,tree,,
RT02C,,X,,PIPO,40-60,,,262,x,7.2,,tree,,
RT02C,X,,1221,PSME,52.7,9,1220,46,,15.8,,tree,,
RT02C,,X,,QUKE,20-40,,,35,x,4.9,,tree,,
RT02C,,X,,CADE,20-40,,,327,x,3.5,,tree,,
RT02C,,X,,PIPO,20-40,,,204,x,4.2,snag-broken top. Decay=2,tree,,
RT02C,,X,,PIPO,20-40,,,162,x,6,,tree,,
RT02C,X,,1222,PSME,44.6,8,1221,56,,6.6,in drainage,tree,,
RT02C,,X,,PIPO,20-40,,,102,x,3.7,Snag-BT. Decay=2,tree,,
RT02C,,X,,PSME,20-40,,,176,x,3.3,,tree,,
RT02C,,X,,PSME,40-60,,,254,x,3.9,,tree,,
RT02C,,X,,PIPO,40-60,,,304,x,5.6,,tree,,
RT02C,X,,1223,PSME,95.2,5,1222,356,,16.4,,tree,,
RT02C,,X,,PSME,20-40,,,54,x,7.2,,tree,,
RT02C,,X,,PIPO,20-40,,,200,x,4.6,,tree,,
RT02C,,X,,CADE,40-60,,,286,x,6.6,,tree,,
RT02C,X,,1224,PSME,34.1,6,1223,260,,7.2,,tree,,
RT02C,,X,,PSME,80-100,,,54,,7.2,,tree,,
RT02C,,X,,PSME,20-40,,,10,,2.4,stump decay=2,tree,,
RT02C,,X,,PIPO,40-60,,,94,,4.5,,tree,,
RT02C,X,,1237,PIPO,68.9,5,1223,348,,14.9,,tree,,
RT02C,,X,,PIPO,20-40,,,198,x,2.5,,tree,,
RT02C,,X,,PIPO,20-40,,,340,x,10.7,,tree,,
RT02C,,X,,CADE,40-60,,,114,x,8.1,,tree,,
RT02C,,X,,PIPO,60-80,,,70,x,12.4,,tree,,
RT02C,X,,1238,PIPO,78.2,3,1237,70,x,12.4,,tree,,
RT02C,,X,,PILA,20-40,,,328,x,9.7,,tree,,
RT02C,,X,,PIPO,60-80,,,70,,12.4,,tree,,
RT02C,,X,,CADE,20-40,,,203,x,8.4,,tree,,
RT02C,,X,,QUKE,20-40,,,130,x,6.9,,tree,,
RT02C,X,,1239,PIPO,53.1,9,1224,274,,4.5,,tree,,
RT02C,,X,,PSME,20-40,,,274,x,4.5,,tree,,
RT02C,,X,,PSME,20-40,,,10,x,6.6,,tree,,
RT02C,,X,,PILA,20-40,,,60,x,3.2,,tree,,
RT02C,,X,,PILA,20-40,,,204,x,6.3,,tree,,
RT02C,X,,1241,PIPO,67.5,8,1221,246,,13.6,,tree,,
RT02C,,X,,QUKE,40-60,,,332,x,3.8,,tree,,
RT02C,,X,,PSME,40-60,,,246,x,13.6,,tree,,
RT02C,,X,,PSME,20-40,,,110,x,6.4,,tree,,
RT02C,,X,,PILA,20-40,,,152,x,8.8,,tree,,
RT02C,X,,1242,PIPO,92.8,4,1220,224,,12.4,,tree,,
RT02C,,X,,CADE,40-60,,,342,x,6.7,,tree,,
RT02C,,X,,QUKE,40-60,,,80,x,6,,tree,,
RT02C,,X,,PIPO,80-100,,,140,x,9,,tree,,
RT02C,,X,,CADE,20-40,,,210,x,7.8,,tree,,
RR32,X,,1243,PSME,48.8,3,1243,,,,,tree,,
RR32,,X,,ARVI,20-40,,,200,x,1.9,,tree,,
RR32,,X,,ARVI,40-60,,,106,x,4.8,,tree,,
RR32,,X,,,,,,8,x,3.8,BED ROCK: no obv. comp.,tree,,
RR32,X,,1244,PSME,43.9,4,1243,360,,9.3,,tree,,
RR32,,X,,ARVI,20-40,,,148,x,1.7,,tree,,
RR32,,X,,PSME,20-40,,,70,x,2.9,,tree,,
RR32,,X,,ARVI,20-40,,,342,x,3.5,,tree,,
RR32,,X,,,,,,248,x,4.8,BED ROCK: no obv. comp.,tree,,
RR32,X,,1245,PSME,41.2,4,1243,290,,9,,tree,,
RR32,,X,,PSME,20-40,,,124,x,0.3,,tree,,
RR32,,X,,ARVI,20-40,,,314,x,4.3,,tree,,
RR32,,X,,PSME,20-40,,,192,x,4.3,,tree,,
RR32,,X,,,,,,18,x,5.3,BED ROCK: no obv. comp.,tree,,
RR32,X,,1246,PSME,43.5,3,1243,220,,13.4,,tree,,
RR32,,X,,PSME,20-40,,,184,x,1.3,,tree,,
RR32,,X,,CADE,60-80,,,56,x,1.8,,tree,,
RR32,,X,,ARVI,20-40,,,304,x,4.4,,tree,,
RR32,X,,1247,PSME,61.2,8,1246,235,,20,,tree,,
RR32,,X,,PIPO,20-40,,,50,x,3.5,,tree,,
RR32,,X,,PIPO,20-40,,,157,x,3,,tree,,
RR32,,X,,PIPO,20-40,,,332,x,3.5,,tree,,
RR32,X,,1249,PIPO,33.1,13,1247,76,,8.3,,tree,,
RR32,,X,,PIPO,20-40,,,110,x,4.5,,tree,,
RR32,,X,,QUKE,20-40,,,300,x,1.5,dead. Decay=1,tree,,
RR32,,X,,PILA,20-40,,,223,x,2.3,,tree,,
RR32,X,,1248,PIPO,35.4,11,1247,152,,3.6,,tree,,
RR32,,X,,PSME,60-80,,,152,x,3.6,,tree,,
RR32,,X,,PIPO,20-40,,,230,x,3.5,,tree,,
RR32,,X,,PIPO,20-40,,,325,x,1.8,,tree,,
RR32,X,,1250,PIPO,69.4,4,1246,130,,8,,tree,,
RR32,,X,,CADE,60-80,,,352,x,4.1,,tree,,
RR32,,X,,ARVI,20-40,,,240,x,1.2,,tree,,
RR32,,X,,PSME,20-40,,,134,x,4.8,,tree,,
RR32,,X,,ARVI,20-40,,,90,x,3.2,,tree,,
RR32,X,,1251,PIPO,46.9,15,1246,140,,32.7,,tree,,
RR32,,X,,PIPO,40-60,,,135,x,4.7,,tree,,
RR32,,X,,PIPO,40-60,,,22,x,3.1,,tree,,
RR32,,X,,CADE,40-60,,,296,x,2.3,,tree,,
RR32,X,,1252,PSME,27.5,11,1252,,,,,tree,,
RR32,,X,,PSME,20-40,,,278,,0.7,,tree,,
RR32,,X,,PIPO,20-40,,,282,x,3.3,,tree,,
RR32,,X,,PSME,20-40,,,232,x,2.4,,tree,,
RR32,X,,1253,PIPO,28.5,11,1252,104,,3.4,,tree,,
RR32,,X,,PSME,20-40,,,140,x,2.3,,tree,,
RR32,,X,,PILA,20-40,,,274,x,2.1,,tree,,
RR32,,X,,PSME,20-40,,,76,x,2.1,,tree,,
RR33,X,,1254,PSME,48.6,16,1254OFFSET,203,,9.6,,tree,,
RR33,,X,,CADE,20-40,,,134,x,1.6,decay=3,tree,,
RR33,,X,,ABCO,40-60,,,30,x,4.2,,tree,,
RR33,,X,,PSME,60-80,,,294,x,5.7,,tree,,
RR33,,X,,ABCO,20-40,,,250,x,5.1,,tree,,
RR33,X,,1256,ABCO,31.8,9,1254,338,,4.9,,tree,,
RR33,,X,,CADE,20-40,,,350,x,3,decay=3,tree,,
RR33,,X,,CADE,20-40,,,110,x,3,decay=2,tree,,
RR33,,X,,CADE,20-40,,,223,x,1.9,,tree,,
RR33,X,,1255,PSME,62.5,11,1254,118,,5.4,,tree,,
RR33,,X,,PSME,40-60,,,118,x,5.4,,tree,,
RR33,,X,,CADE,40-60,,,27,x,2.2,,tree,,
RR33,,X,,PSME,60-80,,,332,x,2.5,,tree,,
RR33,,X,,CADE,40-60,,,242,x,3.9,,tree,,
RR33,X,,1257,ABCO,37.2,11,1254,212,,3.5,,tree,,
RR33,,X,,PSME,40-60,,,212,x,3.5,,tree,,
RR33,,X,,CADE,40-60,,,280,x,6,,tree,,
RR33,,X,,PSME,20-40,,,37,x,4,,tree,,
RR33,,X,,CADE,20-40,,,130,x,1.2,,tree,,
RR33,X,,1258,ABCO,43.3,10,1254,304,,8.2,,tree,,
RR33,,X,,ABCO,20-40,,,192,x,0.5,,tree,,
RR33,,X,,CADE,20-40,,,242,x,1.6,decay=2,tree,,
RR33,,X,,ABCO,20-40,,,80,x,0.8,,tree,,
RR33,X,,1259,PSME,78.4,8,1258,254,,13.9,,tree,,
RR33,,X,,PSME,120-140,,,180,x,1.4,,tree,,
RR33,,X,,PSME,80-100,,,92,x,4.6,,tree,,
RR33,,X,,,,,,350,x,,no clear comp.,tree,,
RR33,X,,1260,PSME,122.2,7,1259,352,,1.5,pitching,tree,,
RR33,,X,,ABCO,60-80,,,152,x,1,,tree,,
RR33,,X,,CADE,20-40,,,252,x,2.9,,tree,,
RR33,,X,,PSME,60-80,,,352,x,1.5,,tree,,
RR33,X,,1041,ABCO,67.4,8,1260,330,,1,,tree,,
RR33,,X,,PSME,120-140,,,330,x,1,,tree,,
RR33,,X,,CADE,20-40,,,204,x,2.8,,tree,,
RR33,,X,,PSME,80-100,,,92,x,2.8,,tree,,
RR33,,X,,PSME,60-80,,,45,x,5.1,,tree,,
RR33,X,,1079,PSME,67.9,11,1260,26,,26.4,projectile core. Explosive pitch,tree,,
RR33,,X,,PSME,60-80,,,182,x,5.2,,tree,,
RR33,,X,,ABCO,40-60,,,283,x,2.9,,tree,,
RR33,,X,,ABCO,20-40,,,360,x,4.8,fell tree- decay=2,tree,,
RR33,X,,1236,ABCO,53.9,9,1079,295,,7.7,pitching,tree,,
RR33,,X,,CADE,20-40,,,140,x,2.8,,tree,,
RR33,,X,,ABCO,20-40,,,268,x,2.8,,tree,,
RR33,,X,,ABCO,20-40,,,314,x,4.3,fell tree- decay=2,tree,,
RR33,,X,,CADE,40-60,,,16,x,9.8,,tree,,
RR71,X,,1271,PSME,62.5,4,RR71BOULDER,76,,11,,tree,,
RR71,,X,,PSME,40-60,,,218,x,4.9,,tree,,
RR71,,X,,,,,,76,,11,BED ROCK: no obv. comp. in 20�-180�,tree,,
RR71,,X,,ABCO,20-40,,,350,,14.7,,tree,,
RR71,X,,1269,PSME,50.5,6,1271,34,,4.5,,tree,,
RR71,,X,,PSME,60-80,,,34,x,4.5,,tree,,
RR71,,X,,PSME,40-60,,,315,x,2.5,,tree,,
RR71,,X,,PSME,40-60,,,246,x,3.1,,tree,,
RR71,,X,,,,,,110,x,3.2,BED ROCK,tree,,
RR71,X,,1270,PSME,44.8,9,1269,160,,1.9,,tree,,
RR71,,X,,PSME,40-60,,,160,x,1.9,,tree,,
RR71,,X,,PSME,40-60,,,200,x,3.4,,tree,,
RR71,,X,,ABCO,20-40,,,72,,3.2,,tree,,
RR71,,X,,ABCO,20-40,,,180,,11.3,,tree,,
RR71,X,,1267,PSME,47.8,9,1270,42,,3.5,,tree,,
RR71,,X,,QUKE,40-60,,,235,x,2.7,,tree,,
RR71,,X,,ABCO,20-40,,,132,,3.5,,tree,,
RR71,,X,,PSME,40-60,,,70,x,2.8,,tree,,
RR71,X,,1268,PSME,56,7,1271,298,,13.8,,tree,,
RR71,,X,,PIPO,40-60,,,235,x,2.1,,tree,,
RR71,,X,,ABCO,20-40,,,132,x,5.7,,tree,,
RR71,,X,,,,,,20,,,,tree,,
RR71,,X,,PSME,60-80,,,110,x,5.2,,tree,,
RR71,X,,1266,ABCO,62.3,11,1268,360,,7.1,,tree,,
RR71,,X,,ABCO,40-60,,,210,x,5.2,,tree,,
RR71,,X,,PILA,40-60,,,265,x,2.2,,tree,,
RR71,,X,,ABCO,20-40,,,30,x,4,,tree,,
RR71,X,,1265,ABCO,34,10,1268,180,,7,,tree,,
RR71,,X,,PSME,20-40,,,180,,0.5,,tree,,
RR71,,X,,ABCO,40-60,,,70,x,3,,tree,,
RR71,,X,,PSME,40-60,,,305,x,4.5,,tree,,
RR71,X,,1264,ABCO,62.5,8,1267,92,,7.7,top split into 3 branches,tree,,
RR71,,X,,PILA,20-40,,,280,x,2.9,,tree,,
RR71,,X,,PSME,40-60,,,352,x,3.7,,tree,,
RR71,,X,,PILA,40-60,,,120,x,4.6,,tree,,
RR71,,X,,ABCO,20-40,,,252,,6.5,,tree,,
RR71,X,,1263,ABCO,46.2,7,1271,170,,12.4,,tree,,
RR71,,X,,ABCO,60-80,,,360,x,0.7,,tree,,
RR71,,X,,PSME,20-40,,,270,x,4,,tree,,
RR71,,X,,ABCO,20-40,,,95,x,7.4,,tree,,
RR71,X,,1262,ABCO,36.8,9,1263,95,,7.4,,tree,,
RR71,,X,,ABCO,20-40,,,120,x,1,,tree,,
RR71,,X,,ABCO,20-40,,,150,,3.4,,tree,,
RT02D,X,,1281,PSME,29.9,8,1281,,,,,tree,,
RT02D,,X,,PSME,20-40,,,32,x,2.3,,tree,,
RT02D,,X,,QUKE,40-60,,,222,x,3.2,,tree,,
RT02D,,X,,PIPO,40-60,,,135,x,4.9,,tree,,
RT02D,,X,,PIPO,20-40,,,307,x,6.2,,tree,,
RT02D,X,,1280,PSME,28.8,9,1281,32,x,2.3,,tree,,
RT02D,,X,,PSME,20-40,,,32,,2.3,,tree,,
RT02D,,X,,PSME,20-40,,,21,x,2.8,,tree,,
RT02D,,X,,PIPO,40-60,,,158,x,5.6,,tree,,
RT02D,,X,,PSME,20-40,,,318,x,3.8,STUMP,tree,,
RT02D,X,,1279,PSME,27.8,8,1280,21,,2.8,,tree,,
RT02D,,X,,PIPO,20-40,,,336,x,4.7,,tree,,
RT02D,,X,,PSME,20-40,,,100,x,1.6,,tree,,
RT02D,,X,,PSME,20-40,,,121,x,2.8,,tree,,
RT02D,X,,1278,PSME,30.2,8,1279,100,x,1.6,,tree,,
RT02D,,X,,PSME,20-40,,,100,,1.6,,tree,,
RT02D,,X,,PSME,20-40,,,51,x,2.2,,tree,,
RT02D,,X,,PSME,20-40,,,130,x,10.6,snag: decay=2,tree,,
RT02D,X,,1277,PSME,33,9,1278,51,x,2.2,,tree,,
RT02D,,X,,PSME,20-40,,,140,x,10.1,snag: decay=2,tree,,
RT02D,,X,,PIPO,20-40,,,16,x,5.6,,tree,,
RT02D,,X,,PSME,20-40,,,51,,2.2,,tree,,
RT02D,X,,1276,PIPO,52.4,7,1281,320,,4.9,,tree,,
RT02D,,X,,PSME,20-40,,,320,x,4.9,,tree,,
RT02D,,X,,PSME,20-40,,,218,x,6.4,,tree,,
RT02D,,X,,PSME,20-40,,,150,x,2.2,,tree,,
RT02D,,X,,PSME,20-40,,,16,x,8.9,,tree,,
RT02D,X,,1275,PIPO,51.5,6,1281,104,,7.2,,tree,,
RT02D,,X,,PIPO,20-40,,,184,x,2.7,,tree,,
RT02D,,X,,PIPO,20-40,,,240,x,3.6,,tree,,
RT02D,,X,,PILA,20-40,,,340,x,7.3,snag. Decay=1,tree,,
RT02D,,X,,PIPO,20-40,,,61,x,2.2,,tree,,
RT02D,X,,1274,PIPO,29.9,5,1275,61,x,2.2,,tree,,
RT02D,,X,,PIPO,40-60,,,61,,2.2,,tree,,
RT02D,,X,,PILA,20-40,,,324,x,7.9,snag. Decay=1,tree,,
RT02D,,X,,PIPO,20-40,,,52,x,7.4,,tree,,
RT02D,,X,,PSME,20-40,,,126,x,5.9,,tree,,
RT02D,X,,1273,PIPO,38.4,7,1274,52,x,7.4,,tree,,
RT02D,,X,,PIPO,20-40,,,234,x,0.5,,tree,,
RT02D,,X,,PIPO,40-60,,,24,x,4.7,,tree,,
RT02D,,X,,PIPO,20-40,,,314,x,6.4,,tree,,
RT02D,,X,,PSME,20-40,,,158,x,4.5,,tree,,
RT02D,X,,1272,PIPO,46.5,5,1273,24,x,4.7,,tree,,
RT02D,,X,,PIPO,20-40,,,94,x,2,,tree,,
RT02D,,X,,PIPO,20-40,,,24,,4.7,,tree,,
RT02D,,X,,PIPO,20-40,,,272,x,5.9,,tree,,
RT02D,,X,,QUKE,20-40,,,322,x,8.8,,tree,,
YB01F,X,,1432,PSME,71.2,5,1432,,,,,tree,,
YB01F,,X,,PSME,40-60,,,42,x,15.3,,tree,,
YB01F,,X,,PSME,40-60,,,163,x,8.6,,tree,,
YB01F,,X,,PSME,40-60,,,195,x,9.6,,tree,,
YB01F,,X,,PSME,60-80,,,277,x,2.7,,tree,,
YB01F,X,,1433,PSME,74,7,1432,277,x,2.7,,tree,,
YB01F,,X,,PSME,60-80,,,277,,2.7,,tree,,
YB01F,,X,,PSME,60-80,,,175,x,9.6,,tree,,
YB01F,,X,,PILA,60-80,,,251,x,21.8,,tree,,
YB01F,,X,,,,,,310-20,x,,no clear comp. ,tree,,
YB01F,X,,1434,PSME,63.7,8,1432,333,,8.2,pitching,tree,,
YB01F,,X,,QUKE,40-60,,,127,x,2.3,,tree,,
YB01F,,X,,PSME,60-80,,,333,x,8.2,,tree,,
YB01F,,X,,QUKE,40-60,,,205,x,2.8,,tree,,
YB01F,,X,,PSME,60-80,,,259,x,6.1,,tree,,
YB01F,X,,1435,PSME,77.2,7,1434,259,x,6.1,,tree,,
YB01F,,X,,PSME,60-80,,,259,,6.1,,tree,,
YB01F,,X,,QUKE,40-60,,,103,x,5,,tree,,
YB01F,,X,,PSME,40-60,,,256,x,5.6,,tree,,
YB01F,,X,,PSME,60-80,,,355,x,8.4,,tree,,
YB01F,X,,1436,PSME,47.5,6,1435,79,,5.2,,tree,,
YB01F,,X,,PSME,60-80,,,79,x,5.2,,tree,,
YB01F,,X,,PIPO,20-40,,,224,x,13.2,,tree,,
YB01F,,X,,QUCH,20-40,,,339,x,1.9,,tree,,
YB01F,X,,1437,PIPO,49.5,8,1436,75,,10.8,,tree,,
YB01F,,X,,PSME,20-40,,,360,,1.2,"dead, red needle this year; decay=1",tree,,
YB01F,,X,,PILA,60-80,,,328,x,7.8,,tree,,
YB01F,,X,,PIPO,20-40,,,38,x,6.5,,tree,,
YB01F,X,,1438,PIPO,49.9,11,1437,20,,3.7,,tree,,
YB01F,,X,,PSME,20-40,,,30,x,2,dead=1,tree,,
YB01F,,X,,PSME,20-40,,,60,x,2.3,dead=1,tree,,
YB01F,,X,,PIPO,40-60,,,140,x,2.8,,tree,,
YB01F,,X,,PIPO,40-60,,,202,x,4,,tree,,
YB01F,,X,,PIPO,40-60,,,238,x,3.8,,tree,,
YB01F,X,,1441,PIPO,40.5,7,1438,52,,3.8,,tree,,
YB01F,,X,,PIPO,40-60,,,52,x,3.8,,tree,,
YB01F,,X,,PIPO,40-60,,,140,x,3.2,,tree,,
YB01F,,X,,PIPO,20-40,,,242,x,3,,tree,,
YB01F,,X,,PIPO,40-60,,,36,x,7.1,,tree,,
YB01F,X,,1439,PIPO,55.5,8,1441,323,,3.1,,tree,,
YB01F,,X,,PSME,40-60,,,170,x,4,,tree,,
YB01F,,X,,PIPO,20-40,,,288,x,4.8,,tree,,
YB01F,,X,,PIPO,40-60,,,323,x,3.1,,tree,,
YB01F,,X,,PIPO,40-60,,,20,x,4.5,,tree,,
YB01F,,X,,PIPO,20-40,,,60,x,4.5,,tree,,
YB01F,,X,,PILA,20-40,,,96,x,5,,tree,,
YB01F,X,,1440,PIPO,47.6,7,1439,231,,3.7,,tree,,
